country,cluster,return_p_years,best_frequency,best_power,num_records,Number of the day,time_span_days
Japan,1,0.977,129.2358451690338,0.06885970313196138,144,46080,46080
Japan,2,2.282,54.82096219243849,0.06897050327359469,130,45665,45665
Japan,3,6.092,15.613120624124827,0.23497531618871204,28,34716,34716
Papua New Guinea,1,1.528,82.82656331266254,0.06943433528906895,141,46204,46204
Papua New Guinea,2,2.073,34.81696139227845,0.13020821693096374,59,26346,26346
Papua New Guinea,3,2.516,43.218641728345666,0.2559025508379233,49,39695,39695
Philippines,1,1.104,112.8325645129026,0.05045672951689368,145,45466,45466
Philippines,2,,0.0,0.0,0,0,0
Tonga,1,1.004,122.8345649129826,0.06180404407352096,130,45005,45005
USA,1,1.802,69.62392278455691,0.06343497864240043,141,45802,45802
USA,2,1.911,66.02320264052811,0.05685352690990684,145,46055,46055
USA,3,1.202,102.83056411282257,0.06693560204730495,130,45102,45102
Mexico,1,1.479,85.22704340868174,0.06488340396786017,127,46003,46003
Mexico,2,2.341,52.820562112422486,0.08225125160782519,123,45126,45126
Mexico,3,3.189,30.81616123224645,0.09481253396727693,65,35864,35864
Canada,1,2.647,43.61872174434887,0.09364152923634571,99,42143,42143
Canada,2,2.442,34.416881376275256,0.07394581392772466,47,30678,30678
Canada,3,3.904,12.412480496099219,0.19073074513079655,20,17689,17689
Guatemala,1,1.344,92.42848369673935,0.10210368997664616,100,45355,45355
Guatemala,2,8.363,13.612720544108823,0.3024772245724196,20,41552,41552
Russia,1,1.069,117.2334446889378,0.06926981022106941,150,45731,45731
Russia,2,1.75,72.02440288057612,0.09322915554549459,77,46002,46002
Russia,3,2.135,56.02120224044809,0.1618048019767824,62,43665,43665
China,1,2.658,46.41928185637127,0.09238635551453792,102,45030,45030
China,2,2.389,45.619121824364875,0.06232365478957823,74,39787,39787
China,3,2.341,43.218641728345666,0.11664744818025077,73,36934,36934
India,1,1.224,98.02960392078417,0.08433601836198591,102,43801,43801
India,2,1.683,71.22424284856972,0.0711526387726783,106,43756,43756
India,3,1.804,67.22344268853772,0.08018839510667317,84,44257,44257
Iran,1,1.585,76.42528305661133,0.0864152137700035,115,44209,44209
Iran,2,1.945,52.820562112422486,0.1828471866927725,74,37497,37497
Iran,3,2.205,52.02040208041608,0.08862519267353142,62,41862,41862
Nicaragua,1,1.434,86.82736347269454,0.1000401714942504,103,45460,45460
El Salvador,1,2.255,55.62112222444489,0.07143210846231965,91,45771,45771
Costa Rica,1,2.09,60.0220024004801,0.07337228906643228,98,45779,45779
Dominican,1,3.156,35.61712142428485,0.055174588610764526,85,41026,41026
Dominican,2,3.96,12.01240048009602,0.5019570205228581,13,17364,17364
Chile,1,1.015,120.4340848169634,0.1030590082880689,130,44627,44627
Chile,2,1.661,55.22104220844169,0.09707418556144565,80,33487,33487
Chile,3,3.194,31.216241248249656,0.06839510702205559,68,36395,36395
Argentina,1,1.801,58.82176235247049,0.1478674715389654,78,38657,38657
Argentina,2,2.857,34.81696139227845,0.13632763589570046,70,36305,36305
Argentina,3,3.086,36.81736147229446,0.11395122597213411,63,41472,41472
Peru,1,1.694,70.42408281656331,0.08075846248581536,113,43556,43556
Peru,2,3.325,15.213040608121624,0.42570558700917743,19,18463,18463
Peru,3,11.734,8.011600320064012,0.47932963671000095,14,34313,34313
Colombia,1,1.754,67.62352270454092,0.08565196777493544,79,43288,43288
Colombia,2,3.563,30.416081216243256,0.1228759705788192,48,39559,39559
Colombia,3,4.553,10.812160432086419,0.43536805035872855,15,17970,17970
Indonesia,1,0.902,140.03800560112023,0.0681903486627824,144,46107,46107
Indonesia,2,3.676,26.415281056211246,0.16941922692737485,43,35438,35438
Indonesia,3,1.75,33.61672134426885,0.21036365289541553,43,21470,21470
Timor Leste,1,1.495,80.82616323264655,0.10207782970313753,98,44101,44101
Australia,1,2.409,42.01840168033607,0.15420072806801163,79,36945,36945
Australia,2,1.907,49.619921984396875,0.13738773062756685,57,34531,34531
Australia,3,2.985,30.81616123224645,0.16742050952656629,56,33576,33576
New Zealand,1,1.338,86.42728345669134,0.08212199617901357,122,42224,42224
New Zealand,2,2.491,43.218641728345666,0.054520863272138044,86,39301,39301
Algeria,1,3.073,37.21744148829766,0.17148880873235287,49,41747,41747
Algeria,2,7.306,14.012800560112023,0.3087003729893479,26,37369,37369
Algeria,3,9.123,11.21224044808962,0.4381405519820343,22,37334,37334
Somalia,1,1.432,41.218241648329666,0.10498428054993861,57,21539,21539
Somalia,2,5.504,18.41368073614723,0.2640961189867065,39,36991,36991
South Africa,1,1.497,34.016801360272055,0.1430486130338386,53,18584,18584
South Africa,2,2.338,22.41448089617924,0.11420747582559214,53,19124,19124
South Africa,3,1.661,30.816161232246454,0.11450343676615275,39,18680,18680
Saint Helena,1,3.322,31.216241248249652,0.18826324362158967,58,37845,37845
Saint Helena,2,4.01,12.81256051210242,0.16467058379622054,13,18751,18751
