country,cluster,return_P_nomes,avg_gap,Number of record,Number of the day,percent,highest_amplitude,highest_frequency,highest_years_not_normalised
Japan,1,1.947,327.62142857142857,141,45867,64.4871,0.10687532894864284,129.0,0.9734651321968069
Japan,2,8.932,400.5701754385965,115,45665,13.9972,0.1149785750944374,28.0,4.465141292656693
Japan,3,,0.0,0,0,0.0,0.0,0.0,0.0
Papua New Guinea,1,14.058,330.0285714285714,141,46204,8.9982,0.09047078241328682,18.0,7.027758764925089
Papua New Guinea,2,8.18,2172.4545454545455,12,23897,7.9984,0.1620547379982684,16.0,4.089151266255989
Papua New Guinea,3,,0.0,0,0,0.0,0.0,0.0,0.0
Philippines,1,4.369,329.463768115942,139,45466,28.4943,0.0850904627518607,57.0,2.183844278732423
Tonga,1,35.212,362.94354838709677,125,45005,3.4993,0.1242487241404074,7.0,17.60242495355432
USA,1,5.701,331.8985507246377,139,45802,21.9956,0.12120491705825898,44.0,2.849978221641466
USA,2,11.789,766.1525423728814,60,45203,10.4979,0.12082315223478308,21.0,5.893289006225351
USA,3,8.088,1722.9583333333333,25,41351,13.9972,0.16990675374489142,28.0,4.04331671066784
Mexico,1,27.994,422.04587155963304,110,46003,4.4991,0.1067109030775189,9.0,13.994372195604228
Mexico,2,3.051,663.6176470588235,69,45126,40.4919,0.1058956938566967,81.0,1.525287094075595
Mexico,3,,0.0,0,0,0.0,0.0,0.0,0.0
Canada,1,7.118,693.1166666666667,61,41587,15.9968,0.08253499128737629,32.0,3.5580937713894594
Canada,2,,0.0,0,0,0.0,0.0,0.0,0.0
Canada,3,,0.0,0,0,0.0,0.0,0.0,0.0
Guatemala,1,5.435,911.3061224489796,50,44654,22.4955,0.10434695202210657,45.0,2.716799756635486
Guatemala,2,,0.0,0,0,0.0,0.0,0.0,0.0
Russia,1,2.141,315.3862068965517,146,45731,58.4883,0.11382457601631611,117.0,1.0701252508234027
Russia,2,12.455,3790.1666666666665,13,45482,9.998000000000001,0.2275665261820385,20.0,6.226146475017111
Russia,3,,0.0,0,0,0.0,0.0,0.0,0.0
China,1,5.28,1031.3488372093022,44,44348,22.9954,0.13938320412756436,46.0,2.639526232776835
China,2,17.52,2742.0,15,38388,5.9988,0.22649683730112344,12.0,8.758384668035593
China,3,17.491,2342.0,16,35130,5.4989,0.11432665414593694,11.0,8.743699831995519
India,1,4.567,976.219512195122,42,40025,23.9952,0.17981637497846725,48.0,2.2829682865617156
India,2,5.734,1308.71875,33,41879,19.996000000000002,0.19103661330976462,40.0,2.8664613278576314
India,3,,0.0,0,0,0.0,0.0,0.0,0.0
Iran,1,19.583,1129.1315789473683,39,42907,5.9988,0.07359673216572361,12.0,9.789413643623089
Iran,2,,0.0,0,0,0.0,0.0,0.0,0.0
Iran,3,,4327.111111111111,10,38944,0.0,0.0,0.0,0.0
Nicaragua,1,3.258,846.6346153846154,53,44025,36.9926,0.11241120925809099,74.0,1.6288362284255506
El Salvador,1,16.641,1340.5294117647059,35,45578,7.4985,0.17388767266283,15.0,8.319050878393794
Costa Rica,1,12.433,1031.909090909091,45,45404,9.998000000000001,0.14609925367528812,20.0,6.215468856947296
Dominican,1,7.465,1557.7619047619048,22,32713,11.9976,0.21714557948164767,24.0,3.731804699977185
Chile,1,2.02,365.7950819672131,123,44627,60.4879,0.15197222595251597,121.0,1.0097691493995395
Chile,2,4.16,882.8108108108108,38,32664,21.4957,0.06931385287756134,43.0,2.0797478630437896
Chile,3,,0.0,0,0,0.0,0.0,0.0,0.0
Argentina,1,8.332,1728.8636363636363,23,38035,12.4975,0.1324785830596294,25.0,4.165366187542779
Argentina,2,7.019,768.96,26,19224,7.4985,0.11379972822040917,15.0,3.5088295687885007
Argentina,3,5.534,1684.0833333333333,25,40418,19.996000000000002,0.15329128739484837,40.0,2.7664613278576318
Peru,1,29.818,473.4347826086956,93,43556,3.9992,0.12358077664028515,8.0,14.906228610540726
Colombia,1,20.331,1020.85,41,40834,5.4989,0.09058875029184829,11.0,10.163399912886565
Colombia,2,,0.0,0,0,0.0,0.0,0.0,0.0
Indonesia,1,31.565,322.42657342657344,144,46107,3.9992,0.1087625589263565,8.0,15.779260780287474
Indonesia,2,,0.0,0,0,0.0,0.0,0.0,0.0
Indonesia,3,6.334,2313.1111111111113,10,20818,8.9982,0.1603380800280345,18.0,3.166476538139783
Timor Leste,1,3.938,685.265625,65,43857,30.4939,0.09159848141467378,61.0,1.9684249503484028
Australia,1,3.784,851.5116279069767,44,36615,26.4947,0.05488367745256348,53.0,1.891441633412111
Australia,2,,0.0,0,0,0.0,0.0,0.0,0.0
Australia,3,8.848,1615.5,21,32310,9.998000000000001,0.14049839178330514,20.0,4.422997946611909
New Zealand,1,2.689,360.8888888888889,118,42224,42.9914,0.0930637571567466,86.0,1.3442210655333238
New Zealand,2,12.661,1062.1891891891892,38,39301,8.4983,0.13758112391641403,17.0,6.329427869710513
Algeria,1,,0.0,0,0,0.0,0.0,0.0,0.0
Algeria,2,,0.0,0,0,0.0,0.0,0.0,0.0
Somalia,1,,0.0,0,0,0.0,0.0,0.0,0.0
Somalia,2,,0.0,0,0,0.0,0.0,0.0,0.0
South Africa,1,,0.0,0,0,0.0,0.0,0.0,0.0
South Africa,2,,0.0,1,0,0.0,0.0,0.0,0.0
South Africa,3,,0.0,0,0,0.0,0.0,0.0,0.0
Saint Helena,1,,0.0,0,0,0.0,0.0,0.0,0.0
